coefficients,accuracy,fluxes
"[0.20181858817180817, -0.39213385759826547, -0.22272899979029165, -0.18331855443963468]",0.6,"{'r_2111': 0.08374770604152976, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436367929}"
"[0.2690137891076371, -0.17149067421442174, -0.380883132411963, -0.17861240426597813]",0.6,"{'r_2111': 0.08374770604152873, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436354286}"
"[0.2163785781810556, -0.1379368261415777, -0.3063595770232864, -0.33932501865408027]",0.6,"{'r_2111': 0.08374770604116996, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436333823}"
"[0.21775446208529775, -0.1376946364137243, -0.30582167032599583, -0.3387292311749821]",0.6,"{'r_2111': 0.08374770604153156, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.2070791756922352, -0.1309442366082345, -0.3398533609107103, -0.32212322678882]",0.6,"{'r_2111': 0.08374770604149132, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.28443489882742173, -0.11816958647584831, -0.3066979667184555, -0.2906975479782744]",0.6,"{'r_2111': 0.0837477060414916, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.3423230613373856, -0.14221944904141068, -0.36911710660622865, -0.1463403830149751]",0.6,"{'r_2111': 0.08374770604153119, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436367929}"
"[0.06169301982405159, -0.37795833365903264, -0.33733711687096246, -0.22301152964595328]",0.6,"{'r_2111': 0.08374770604149309, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.060527360453975596, -0.3708169962049014, -0.330963297397114, -0.23769234594400898]",0.6,"{'r_2111': 0.08374770604154741, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436380434}"
"[0.32913545720005166, -0.21873180551773067, -0.20338431548356592, -0.24874842179865173]",0.6,"{'r_2111': 0.08374770604148592, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.16637565205488192, -0.2717987717588324, -0.2527277960907385, -0.3090977800955472]",0.6,"{'r_2111': 0.08374770604159586, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436384982}"
"[0.31796783474181545, -0.36473332446132095, -0.23116595349726504, -0.08613288729959853]",0.6,"{'r_2111': 0.08374770604118667, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436407719}"
"[-0.15071955945628265, 0.23019981714324556, 0.19759543976702898, -0.42148518363344284]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 2.0000000000000004, 'r_1808': 0.0, 'r_1654': -0.2599999999999909}"
"[0.2749036354436268, 0.19653937917756278, 0.1687025017746365, -0.35985448360417394]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.9999999999949978, 'r_1808': 0.0, 'r_1654': -0.260000000002492}"
"[0.3345645541819426, -0.0221684628709502, 0.20531513599129506, -0.4379518469558122]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.9999999999949978, 'r_1808': 0.0, 'r_1654': -0.260000000002492}"
"[0.24382506317746674, -0.01615600574685295, 0.4208469344671628, -0.3191719966085175]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.9999999999949978, 'r_1808': 0.0, 'r_1654': -0.260000000002492}"
"[0.29548199545976145, -0.01957882735486012, 0.5100078324965769, 0.1749313446888015]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.9999999999949978, 'r_1808': 0.0, 'r_1654': -0.260000000002492}"
"[0.2732241528048106, -0.2585378934541184, -0.40099527199044016, -0.06724268175063086]",0.6,"{'r_2111': 0.08374770604153121, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.2856667361661333, -0.22477183003969597, -0.419256531282556, -0.07030490251161473]",0.6,"{'r_2111': 0.0837477060415929, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436363381}"
"[0.48897819494072625, -0.38474386343118183, -0.005936438844161307, -0.1203415027839306]",0.6,"{'r_2111': 0.08374770604148564, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.31251530299817637, -0.0040947591696551145, -0.23574245885410935, -0.4476474789780591]",0.6,"{'r_2111': 0.0837477060413521, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436380434}"
"[0.2354426699212337, -0.24970525718219344, -0.17760357138969277, -0.3372485015068801]",0.6,"{'r_2111': 0.08374770604149212, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.316116486406934, -0.22335710080344873, -0.15886337054167923, -0.301663042247938]",0.6,"{'r_2111': 0.08374770604153038, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.3015888180566391, -0.21309234706966587, -0.19751922847856965, -0.28779960639512536]",0.6,"{'r_2111': 0.08374770604141672, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.1138826809365361, -0.2703633964921636, -0.2506048209536083, -0.365149101617692]",0.6,"{'r_2111': 0.08374770604149655, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.598775743637475}"
"[0.16060667496722983, -0.38128858388617726, -0.3534234239405255, -0.10468131720606737]",0.6,"{'r_2111': 0.08374770604150622, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436341781}"
"[0.024406302859659813, -0.28263036994602003, -0.43086092040025803, -0.2621024067940621]",0.6,"{'r_2111': 0.08374770604141367, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436340644}"
"[0.039782304146119475, -0.4606878560335768, -0.0723025893650233, -0.4272272504552804]",0.6,"{'r_2111': 0.08374770604159244, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436383845}"
"[0.1903022115884479, -0.3884722597689035, -0.06096872298653898, -0.3602568056561096]",0.6,"{'r_2111': 0.0837477060414919, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.15623084003524843, -0.49795910534252025, -0.05005299060140593, -0.2957570640208254]",0.6,"{'r_2111': 0.08374770604149336, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.15594390237340167, -0.4970445405782903, -0.05179768821484547, -0.29521386883346257]",0.6,"{'r_2111': 0.08374770604149336, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.17053066540213788, -0.5435373550955395, -0.056642767707707924, -0.22928921179461473]",0.6,"{'r_2111': 0.08374770604149336, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.255658096949259, -0.31567515526015916, -0.08491834687880133, -0.3437484009117805]",0.6,"{'r_2111': 0.08374770604169604, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436372476}"
"[0.3667474993994884, -0.4528433685289707, -0.12181734802289432, -0.05859178404864652]",0.6,"{'r_2111': 0.08374770604146399, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.33236076015498783, -0.0731865340912272, -0.28441181297249746, -0.31004089278128755]",0.6,"{'r_2111': 0.08374770604173909, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436357697}"
"[0.011264648365287755, -0.10838505168811491, -0.4211975526988329, -0.4591527472477644]",0.6,"{'r_2111': 0.08374770604063583, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436629408}"
"[0.010494297807341742, -0.16935953137286278, -0.392393300741275, -0.4277528700785205]",0.6,"{'r_2111': 0.08374770604063583, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436629408}"
"[0.016672323727032586, -0.26906201683465814, -0.034693337779288, -0.6795723216590213]",0.6,"{'r_2111': 0.08374770604063583, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436629408}"
"[0.05878747388123239, -0.2575383024989316, -0.03320744943791329, -0.6504667741819227]",0.6,"{'r_2111': 0.08374770604149115, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.042008859054511155, -0.18403393676470853, -0.309141058287932, -0.46481614589284836]",0.6,"{'r_2111': 0.08374770604153191, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.06638395494795572, -0.2908172428875195, -0.48851614987495495, -0.1542826522895699]",0.6,"{'r_2111': 0.08374770604149132, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.598775743637475}"
"[0.11255988667324454, -0.2764336456654278, -0.46435451672514183, -0.14665195093618588]",0.6,"{'r_2111': 0.08374770604149519, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.07088688328952082, -0.17408972376159812, -0.29243672328502135, -0.4625866696638597]",0.6,"{'r_2111': 0.08374770604119589, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436395214}"
"[0.09681115877107153, -0.16923224206627827, -0.28427710306331555, -0.44967949609933466]",0.6,"{'r_2111': 0.08374770604130227, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436389529}"
