coefficients,accuracy,fluxes
"[0.12812451435317432, -0.19282775560331594, 0.21753060327294674, -0.15273343384284177, -0.30878369292772123]",0.0,{'r_2111': 0.0}
"[0.1086349931117585, -0.1634959711455335, 0.1844411719915937, -0.12950055356085932, -0.41392731019025497]",0.0,{'r_2111': 0.0}
"[-0.020738517390911294, -0.3062956962883271, 0.20945992004157282, -0.11997085139458522, 0.3435350148846036]",0.0,{'r_2111': 0.0}
"[0.014591398048052115, -0.2727583097882908, 0.2462348616802529, -0.4544868853476291, 0.011928545135775093]",0.0,{'r_2111': 0.0}
"[0.046498194814806444, 0.01397679692202743, 0.3428397011366881, -0.5535937003101602, 0.043091606816317865]",0.0,{'r_2111': 0.0}
"[0.37403730966109416, 0.35182310279355766, -0.22603418399164835, -0.03586408112763979, -0.012241322426060042]",0.0,{'r_2111': 0.0}
"[-0.2070945825017784, -0.22576903022309414, -0.29210354680495715, -0.13223641018973972, 0.14279643028043057]",0.0,{'r_2111': 0.0}
"[0.08587499030906777, -0.2602846599179166, -0.3367604151278687, -0.15245274793000269, 0.16462718671514423]",0.0,{'r_2111': 0.0}
"[0.11295365541429052, -0.027032767892216876, -0.44294991767248143, -0.20052514817959635, 0.21653851084141484]",0.0,{'r_2111': 0.0}
"[0.10818053141088228, -0.025890434314506217, -0.46648938710625787, -0.19205148351994045, 0.2073881636484132]",0.0,{'r_2111': 0.0}
"[0.10590279152498157, -0.025345311507913023, -0.4566674582480454, -0.20906283055013097, 0.20302160816892903]",0.0,{'r_2111': 0.0}
"[0.11275777867095822, -0.026985889457707045, -0.4862271092373939, -0.2225952690768773, 0.1514339535570636]",0.0,{'r_2111': 0.0}
"[-0.23247775188825232, 0.2943080534405343, 0.08644072188394622, 0.17740914514344264, -0.20936432764382454]",0.0,{'r_2111': 0.0}
"[-0.13200662087384402, -0.22173201361253045, -0.20641652757763296, 0.3083722716125982, 0.13147256632339435]",0.0,{'r_2111': 0.0}
"[0.1600865076884992, -0.005265553864239499, 0.5086451261947309, 0.24896539880173413, -0.07703741345079623]",0.0,{'r_2111': 0.0}
"[0.32183525432873944, 0.23169754194989836, -0.14686897024158282, -0.28842714834086347, -0.011171085138915892]",0.0,{'r_2111': 0.0}
"[-0.058087469490501704, -0.20702565405517018, 0.2558710464614101, 0.01044721652160828, 0.46856861347130974]",0.0,{'r_2111': 0.0}
"[0.26816428661962843, -0.16085226846016107, 0.1988035658886268, 0.008117150911873658, 0.36406272811971]",0.0,{'r_2111': 0.0}
"[0.28083278550925145, -0.12120962163627193, 0.20819535621783472, 0.008500617773215391, 0.3812616188634265]",0.0,{'r_2111': 0.0}
"[0.22924635796838247, -0.09894451696746642, 0.35364266504583713, 0.006939131631149001, 0.311227328387165]",0.0,{'r_2111': 0.0}
"[0.19922162590278128, -0.08598560831724378, 0.3073255660128796, 0.13700177149965348, 0.27046542826744185]",0.0,{'r_2111': 0.0}
